Replacement,Original
I,i
I'm,i'm
I've,i've
I'll,i'll
I'd,i'd
Monday,monday
Mondays,mondays
Tuesday,tuesday
Tuesdays,tuesdays
Wednesday,wednesday
Wednesdays,wednesdays
Thursday,thursday
Thursdays,thursdays
Friday,friday
Fridays,fridays
Saturday,saturday
Saturdays,saturdays
Sunday,sunday
Sundays,sundays
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december

email,e-mail
emailing,e-mailing,
emails,e-mails
emailed,e-mailed
plugin,plug-in
plugins,plug-ins
etc,et cetera
cache,cash
caching,cashing
cached,cashed
shake,Sheikh
ok,okay
check,cheque
cypress,Cyprus
alter,altar
refactor,refractor
mr,Mister
ms,Missus
artifact,artefact
web,Webb
deck,deque
console,consul
disk,disc
codebase,code base
pattern,Patton
leslie,Lesley
non-production,nonproduction
balancers,balances
